iteration,execution_time_s
2,0.000016
4,0.000002
8,0.000001
16,0.000001
32,0.000002
64,0.000003
128,0.000007
256,0.000008
512,0.000012
1024,0.000023
2048,0.000048
4096,0.000093
8192,0.000184
16384,0.000395
32768,0.000734
65536,0.001334
131072,0.002513
262144,0.005060
524288,0.009046
1048576,0.015838
