iteration,execution_time_s
2,0.000025
4,0.000002
8,0.000000
16,0.000002
32,0.000004
64,0.000013
128,0.000042
256,0.000185
512,0.000522
1024,0.001958
2048,0.007380
4096,0.025823
8192,0.103793
16384,0.538796
32768,2.472072
65536,10.567113
131072,44.042600
262144,177.172030
524288,708.045730
1048576,2828.884083
